[86.6 minutes]	Chunk 26: (pM50~GTSP2160~1) 211705 reads pass barcode filter.
[86.7 minutes]	Chunk 26: (pM50~GTSP2160~1) 13054 reads pass linker code filter.
[86.7 minutes]	Chunk 26: (pM50~GTSP2160~1) 12885 reads pass all demultiplexing filters.
[86.8 minutes]	Chunk 26: (pM50~GTSP2160~1) 110 reads aligned to the vector and will be removed.
[86.8 minutes]	Chunk 26: (pM50~GTSP2160~1) 12835 reads remain after removing vector aligned reads and synchronizing.
[86.8 minutes]	Chunk 26: (pM50~GTSP2160~1) 734 reads removed by virus read start test filter (10 NTs).
[86.8 minutes]	Chunk 26: (pM50~GTSP2160~1) 734 reads removed after all filters.
[87.2 minutes]	Chunk 26: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.2 minutes]	Chunk 26: (pM50~GTSP2160~1) captured random linker ids.
[87.2 minutes]	Chunk 26: (7059) reads remaining after read length filters.
[87.2 minutes]	Chunk 26: (pM50~GTSP2160~1) completed with 7059 reads.
[87.6 minutes]	Chunk 26: (pM50~GTSP2161~1) 211705 reads pass barcode filter.
[87.7 minutes]	Chunk 26: (pM50~GTSP2161~1) 8376 reads pass linker code filter.
[87.7 minutes]	Chunk 26: (pM50~GTSP2161~1) 8232 reads pass all demultiplexing filters.
[87.7 minutes]	Chunk 26: (pM50~GTSP2161~1) 80 reads aligned to the vector and will be removed.
[87.7 minutes]	Chunk 26: (pM50~GTSP2161~1) 8198 reads remain after removing vector aligned reads and synchronizing.
[87.7 minutes]	Chunk 26: (pM50~GTSP2161~1) 485 reads removed by virus read start test filter (10 NTs).
[87.7 minutes]	Chunk 26: (pM50~GTSP2161~1) 485 reads removed after all filters.
[88.0 minutes]	Chunk 26: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.0 minutes]	Chunk 26: (pM50~GTSP2161~1) captured random linker ids.
[88.1 minutes]	Chunk 26: (4275) reads remaining after read length filters.
[88.1 minutes]	Chunk 26: (pM50~GTSP2161~1) completed with 4275 reads.
[88.5 minutes]	Chunk 26: (pM50~GTSP2162~1) 211705 reads pass barcode filter.
[88.6 minutes]	Chunk 26: (pM50~GTSP2162~1) 9943 reads pass linker code filter.
[88.6 minutes]	Chunk 26: (pM50~GTSP2162~1) 9783 reads pass all demultiplexing filters.
[88.7 minutes]	Chunk 26: (pM50~GTSP2162~1) 227 reads aligned to the vector and will be removed.
[88.7 minutes]	Chunk 26: (pM50~GTSP2162~1) 9700 reads remain after removing vector aligned reads and synchronizing.
[88.7 minutes]	Chunk 26: (pM50~GTSP2162~1) 594 reads removed by virus read start test filter (10 NTs).
[88.7 minutes]	Chunk 26: (pM50~GTSP2162~1) 594 reads removed after all filters.
[89.0 minutes]	Chunk 26: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.0 minutes]	Chunk 26: (pM50~GTSP2162~1) captured random linker ids.
[89.0 minutes]	Chunk 26: (6020) reads remaining after read length filters.
[89.0 minutes]	Chunk 26: (pM50~GTSP2162~1) completed with 6020 reads.
[89.5 minutes]	Chunk 26: (pM66~GTSP2163~1) 211705 reads pass barcode filter.
[89.5 minutes]	Chunk 26: (pM66~GTSP2163~1) 6671 reads pass linker code filter.
[89.5 minutes]	Chunk 26: (pM66~GTSP2163~1) 6573 reads pass all demultiplexing filters.
[89.6 minutes]	Chunk 26: (pM66~GTSP2163~1) 73 reads aligned to the vector and will be removed.
[89.6 minutes]	Chunk 26: (pM66~GTSP2163~1) 6532 reads remain after removing vector aligned reads and synchronizing.
[89.6 minutes]	Chunk 26: (pM66~GTSP2163~1) 298 reads removed by virus read start test filter (10 NTs).
[89.6 minutes]	Chunk 26: (pM66~GTSP2163~1) 298 reads removed after all filters.
[89.8 minutes]	Chunk 26: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[89.8 minutes]	Chunk 26: (pM66~GTSP2163~1) captured random linker ids.
[89.8 minutes]	Chunk 26: (3454) reads remaining after read length filters.
[89.8 minutes]	Chunk 26: (pM66~GTSP2163~1) completed with 3454 reads.
[90.3 minutes]	Chunk 26: (pM66~GTSP2164~1) 211705 reads pass barcode filter.
[90.3 minutes]	Chunk 26: (pM66~GTSP2164~1) 11899 reads pass linker code filter.
[90.3 minutes]	Chunk 26: (pM66~GTSP2164~1) 11715 reads pass all demultiplexing filters.
[90.5 minutes]	Chunk 26: (pM66~GTSP2164~1) 41 reads aligned to the vector and will be removed.
[90.5 minutes]	Chunk 26: (pM66~GTSP2164~1) 11698 reads remain after removing vector aligned reads and synchronizing.
[90.5 minutes]	Chunk 26: (pM66~GTSP2164~1) 315 reads removed by virus read start test filter (10 NTs).
[90.5 minutes]	Chunk 26: (pM66~GTSP2164~1) 315 reads removed after all filters.
[90.8 minutes]	Chunk 26: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[90.8 minutes]	Chunk 26: (pM66~GTSP2164~1) captured random linker ids.
[90.8 minutes]	Chunk 26: (4561) reads remaining after read length filters.
[90.8 minutes]	Chunk 26: (pM66~GTSP2164~1) completed with 4561 reads.
[91.3 minutes]	Chunk 26: (pM66~GTSP2165~1) 211705 reads pass barcode filter.
[91.3 minutes]	Chunk 26: (pM66~GTSP2165~1) 1586 reads pass linker code filter.
[91.3 minutes]	Chunk 26: (pM66~GTSP2165~1) 1569 reads pass all demultiplexing filters.
[91.4 minutes]	Chunk 26: (pM66~GTSP2165~1) 39 reads aligned to the vector and will be removed.
[91.4 minutes]	Chunk 26: (pM66~GTSP2165~1) 1554 reads remain after removing vector aligned reads and synchronizing.
[91.4 minutes]	Chunk 26: (pM66~GTSP2165~1) 75 reads removed by virus read start test filter (10 NTs).
[91.4 minutes]	Chunk 26: (pM66~GTSP2165~1) 75 reads removed after all filters.
[91.5 minutes]	Chunk 26: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.5 minutes]	Chunk 26: (pM66~GTSP2165~1) captured random linker ids.
[91.5 minutes]	Chunk 26: (1095) reads remaining after read length filters.
[91.5 minutes]	Chunk 26: (pM66~GTSP2165~1) completed with 1095 reads.
[91.9 minutes]	Chunk 26: (pLinus~GTSP2166~1) 211705 reads pass barcode filter.
[92.0 minutes]	Chunk 26: (pLinus~GTSP2166~1) 15311 reads pass linker code filter.
[92.0 minutes]	Chunk 26: (pLinus~GTSP2166~1) 15137 reads pass all demultiplexing filters.
[92.1 minutes]	Chunk 26: (pLinus~GTSP2166~1) 14 reads aligned to the vector and will be removed.
[92.1 minutes]	Chunk 26: (pLinus~GTSP2166~1) 15131 reads remain after removing vector aligned reads and synchronizing.
[92.1 minutes]	Chunk 26: (pLinus~GTSP2166~1) 681 reads removed by virus read start test filter (10 NTs).
[92.1 minutes]	Chunk 26: (pLinus~GTSP2166~1) 681 reads removed after all filters.
[92.5 minutes]	Chunk 26: (pLinus~GTSP2166~1) 2 reads remaining after LTR/ITR capture.
[92.5 minutes]	Chunk 26: (pLinus~GTSP2166~1) captured random linker ids.
[92.5 minutes]	Chunk 26: (8169) reads remaining after read length filters.
[92.5 minutes]	Chunk 26: (pLinus~GTSP2166~1) completed with 8169 reads.
[92.9 minutes]	Chunk 26: (pLinus~GTSP2167~1) 211705 reads pass barcode filter.
[93.0 minutes]	Chunk 26: (pLinus~GTSP2167~1) 12869 reads pass linker code filter.
[93.0 minutes]	Chunk 26: (pLinus~GTSP2167~1) 12718 reads pass all demultiplexing filters.
[93.1 minutes]	Chunk 26: (pLinus~GTSP2167~1) 0 reads aligned to the vector and will be removed.
[93.1 minutes]	Chunk 26: (pLinus~GTSP2167~1) 12718 reads remain after removing vector aligned reads and synchronizing.
[93.1 minutes]	Chunk 26: (pLinus~GTSP2167~1) 755 reads removed by virus read start test filter (10 NTs).
[93.1 minutes]	Chunk 26: (pLinus~GTSP2167~1) 755 reads removed after all filters.
[93.5 minutes]	Chunk 26: (pLinus~GTSP2167~1) 2 reads remaining after LTR/ITR capture.
[93.5 minutes]	Chunk 26: (pLinus~GTSP2167~1) captured random linker ids.
[93.5 minutes]	Chunk 26: (8813) reads remaining after read length filters.
[93.5 minutes]	Chunk 26: (pLinus~GTSP2167~1) completed with 8813 reads.
[93.9 minutes]	Chunk 26: (pLinus~GTSP2168~1) 211705 reads pass barcode filter.
[94.0 minutes]	Chunk 26: (pLinus~GTSP2168~1) 11135 reads pass linker code filter.
[94.0 minutes]	Chunk 26: (pLinus~GTSP2168~1) 10966 reads pass all demultiplexing filters.
[94.0 minutes]	Chunk 26: (pLinus~GTSP2168~1) 7 reads aligned to the vector and will be removed.
[94.1 minutes]	Chunk 26: (pLinus~GTSP2168~1) 10963 reads remain after removing vector aligned reads and synchronizing.
[94.1 minutes]	Chunk 26: (pLinus~GTSP2168~1) 598 reads removed by virus read start test filter (10 NTs).
[94.1 minutes]	Chunk 26: (pLinus~GTSP2168~1) 598 reads removed after all filters.
[94.4 minutes]	Chunk 26: (pLinus~GTSP2168~1) 2 reads remaining after LTR/ITR capture.
[94.4 minutes]	Chunk 26: (pLinus~GTSP2168~1) captured random linker ids.
[94.5 minutes]	Chunk 26: (5963) reads remaining after read length filters.
[94.5 minutes]	Chunk 26: (pLinus~GTSP2168~1) completed with 5963 reads.
[94.9 minutes]	Chunk 26: (NTC~NTC1~1) 211705 reads pass barcode filter.
[94.9 minutes]	Chunk 26: (NTC~NTC1~1) 0 reads pass linker code filter.
[94.9 minutes]	Chunk 26: (NTC~NTC1~1) No reads demultiplexed.
[95.3 minutes]	Chunk 26: (pH19~GTSP2169~1) 211705 reads pass barcode filter.
[95.4 minutes]	Chunk 26: (pH19~GTSP2169~1) 5893 reads pass linker code filter.
[95.4 minutes]	Chunk 26: (pH19~GTSP2169~1) 5797 reads pass all demultiplexing filters.
[95.4 minutes]	Chunk 26: (pH19~GTSP2169~1) 39 reads aligned to the vector and will be removed.
[95.5 minutes]	Chunk 26: (pH19~GTSP2169~1) 5779 reads remain after removing vector aligned reads and synchronizing.
[95.5 minutes]	Chunk 26: (pH19~GTSP2169~1) 350 reads removed by virus read start test filter (10 NTs).
[95.5 minutes]	Chunk 26: (pH19~GTSP2169~1) 350 reads removed after all filters.
[95.6 minutes]	Chunk 26: (pH19~GTSP2169~1) 2 reads remaining after LTR/ITR capture.
[95.6 minutes]	Chunk 26: (pH19~GTSP2169~1) captured random linker ids.
[95.6 minutes]	Chunk 26: (3058) reads remaining after read length filters.
[95.6 minutes]	Chunk 26: (pH19~GTSP2169~1) completed with 3058 reads.
[96.1 minutes]	Chunk 26: (pH19~GTSP2170~1) 211705 reads pass barcode filter.
[96.1 minutes]	Chunk 26: (pH19~GTSP2170~1) 5950 reads pass linker code filter.
[96.1 minutes]	Chunk 26: (pH19~GTSP2170~1) 5880 reads pass all demultiplexing filters.
[96.2 minutes]	Chunk 26: (pH19~GTSP2170~1) 35 reads aligned to the vector and will be removed.
