[86.8 minutes]	Chunk 3: (pM50~GTSP2160~1) 203056 reads pass barcode filter.
[86.9 minutes]	Chunk 3: (pM50~GTSP2160~1) 11599 reads pass linker code filter.
[86.9 minutes]	Chunk 3: (pM50~GTSP2160~1) 11429 reads pass all demultiplexing filters.
[87.0 minutes]	Chunk 3: (pM50~GTSP2160~1) 54 reads aligned to the vector and will be removed.
[87.0 minutes]	Chunk 3: (pM50~GTSP2160~1) 11405 reads remain after removing vector aligned reads and synchronizing.
[87.0 minutes]	Chunk 3: (pM50~GTSP2160~1) 682 reads removed by virus read start test filter (10 NTs).
[87.0 minutes]	Chunk 3: (pM50~GTSP2160~1) 682 reads removed after all filters.
[87.3 minutes]	Chunk 3: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.3 minutes]	Chunk 3: (pM50~GTSP2160~1) captured random linker ids.
[87.3 minutes]	Chunk 3: (5767) reads remaining after read length filters.
[87.3 minutes]	Chunk 3: (pM50~GTSP2160~1) completed with 5767 reads.
[87.8 minutes]	Chunk 3: (pM50~GTSP2161~1) 203056 reads pass barcode filter.
[87.8 minutes]	Chunk 3: (pM50~GTSP2161~1) 8792 reads pass linker code filter.
[87.8 minutes]	Chunk 3: (pM50~GTSP2161~1) 8659 reads pass all demultiplexing filters.
[87.9 minutes]	Chunk 3: (pM50~GTSP2161~1) 71 reads aligned to the vector and will be removed.
[87.9 minutes]	Chunk 3: (pM50~GTSP2161~1) 8632 reads remain after removing vector aligned reads and synchronizing.
[87.9 minutes]	Chunk 3: (pM50~GTSP2161~1) 545 reads removed by virus read start test filter (10 NTs).
[87.9 minutes]	Chunk 3: (pM50~GTSP2161~1) 545 reads removed after all filters.
[88.3 minutes]	Chunk 3: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.3 minutes]	Chunk 3: (pM50~GTSP2161~1) captured random linker ids.
[88.3 minutes]	Chunk 3: (4140) reads remaining after read length filters.
[88.3 minutes]	Chunk 3: (pM50~GTSP2161~1) completed with 4140 reads.
[88.7 minutes]	Chunk 3: (pM50~GTSP2162~1) 203056 reads pass barcode filter.
[88.8 minutes]	Chunk 3: (pM50~GTSP2162~1) 8944 reads pass linker code filter.
[88.8 minutes]	Chunk 3: (pM50~GTSP2162~1) 8813 reads pass all demultiplexing filters.
[88.9 minutes]	Chunk 3: (pM50~GTSP2162~1) 142 reads aligned to the vector and will be removed.
[88.9 minutes]	Chunk 3: (pM50~GTSP2162~1) 8757 reads remain after removing vector aligned reads and synchronizing.
[88.9 minutes]	Chunk 3: (pM50~GTSP2162~1) 531 reads removed by virus read start test filter (10 NTs).
[88.9 minutes]	Chunk 3: (pM50~GTSP2162~1) 531 reads removed after all filters.
[89.2 minutes]	Chunk 3: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.2 minutes]	Chunk 3: (pM50~GTSP2162~1) captured random linker ids.
[89.2 minutes]	Chunk 3: (5283) reads remaining after read length filters.
[89.2 minutes]	Chunk 3: (pM50~GTSP2162~1) completed with 5283 reads.
[89.7 minutes]	Chunk 3: (pM66~GTSP2163~1) 203056 reads pass barcode filter.
[89.7 minutes]	Chunk 3: (pM66~GTSP2163~1) 6298 reads pass linker code filter.
[89.7 minutes]	Chunk 3: (pM66~GTSP2163~1) 6201 reads pass all demultiplexing filters.
[89.8 minutes]	Chunk 3: (pM66~GTSP2163~1) 53 reads aligned to the vector and will be removed.
[89.8 minutes]	Chunk 3: (pM66~GTSP2163~1) 6168 reads remain after removing vector aligned reads and synchronizing.
[89.8 minutes]	Chunk 3: (pM66~GTSP2163~1) 318 reads removed by virus read start test filter (10 NTs).
[89.8 minutes]	Chunk 3: (pM66~GTSP2163~1) 318 reads removed after all filters.
[90.0 minutes]	Chunk 3: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.0 minutes]	Chunk 3: (pM66~GTSP2163~1) captured random linker ids.
[90.0 minutes]	Chunk 3: (2940) reads remaining after read length filters.
[90.0 minutes]	Chunk 3: (pM66~GTSP2163~1) completed with 2940 reads.
[90.4 minutes]	Chunk 3: (pM66~GTSP2164~1) 203056 reads pass barcode filter.
[90.5 minutes]	Chunk 3: (pM66~GTSP2164~1) 11873 reads pass linker code filter.
[90.5 minutes]	Chunk 3: (pM66~GTSP2164~1) 11692 reads pass all demultiplexing filters.
[90.6 minutes]	Chunk 3: (pM66~GTSP2164~1) 28 reads aligned to the vector and will be removed.
[90.6 minutes]	Chunk 3: (pM66~GTSP2164~1) 11682 reads remain after removing vector aligned reads and synchronizing.
[90.6 minutes]	Chunk 3: (pM66~GTSP2164~1) 327 reads removed by virus read start test filter (10 NTs).
[90.6 minutes]	Chunk 3: (pM66~GTSP2164~1) 327 reads removed after all filters.
[90.9 minutes]	Chunk 3: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[90.9 minutes]	Chunk 3: (pM66~GTSP2164~1) captured random linker ids.
[90.9 minutes]	Chunk 3: (4047) reads remaining after read length filters.
[90.9 minutes]	Chunk 3: (pM66~GTSP2164~1) completed with 4047 reads.
[91.3 minutes]	Chunk 3: (pM66~GTSP2165~1) 203056 reads pass barcode filter.
[91.4 minutes]	Chunk 3: (pM66~GTSP2165~1) 4768 reads pass linker code filter.
[91.4 minutes]	Chunk 3: (pM66~GTSP2165~1) 4699 reads pass all demultiplexing filters.
[91.5 minutes]	Chunk 3: (pM66~GTSP2165~1) 84 reads aligned to the vector and will be removed.
[91.5 minutes]	Chunk 3: (pM66~GTSP2165~1) 4661 reads remain after removing vector aligned reads and synchronizing.
[91.5 minutes]	Chunk 3: (pM66~GTSP2165~1) 284 reads removed by virus read start test filter (10 NTs).
[91.5 minutes]	Chunk 3: (pM66~GTSP2165~1) 284 reads removed after all filters.
[91.6 minutes]	Chunk 3: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.6 minutes]	Chunk 3: (pM66~GTSP2165~1) captured random linker ids.
[91.6 minutes]	Chunk 3: (2518) reads remaining after read length filters.
[91.6 minutes]	Chunk 3: (pM66~GTSP2165~1) completed with 2518 reads.
[92.0 minutes]	Chunk 3: (pLinus~GTSP2166~1) 203056 reads pass barcode filter.
[92.1 minutes]	Chunk 3: (pLinus~GTSP2166~1) 13905 reads pass linker code filter.
[92.1 minutes]	Chunk 3: (pLinus~GTSP2166~1) 13721 reads pass all demultiplexing filters.
[92.2 minutes]	Chunk 3: (pLinus~GTSP2166~1) 1 reads aligned to the vector and will be removed.
[92.2 minutes]	Chunk 3: (pLinus~GTSP2166~1) 13720 reads remain after removing vector aligned reads and synchronizing.
[92.2 minutes]	Chunk 3: (pLinus~GTSP2166~1) 501 reads removed by virus read start test filter (10 NTs).
[92.2 minutes]	Chunk 3: (pLinus~GTSP2166~1) 501 reads removed after all filters.
[92.6 minutes]	Chunk 3: (pLinus~GTSP2166~1) 2 reads remaining after LTR/ITR capture.
[92.6 minutes]	Chunk 3: (pLinus~GTSP2166~1) captured random linker ids.
[92.6 minutes]	Chunk 3: (7297) reads remaining after read length filters.
[92.6 minutes]	Chunk 3: (pLinus~GTSP2166~1) completed with 7297 reads.
[93.0 minutes]	Chunk 3: (pLinus~GTSP2167~1) 203056 reads pass barcode filter.
[93.1 minutes]	Chunk 3: (pLinus~GTSP2167~1) 11482 reads pass linker code filter.
[93.1 minutes]	Chunk 3: (pLinus~GTSP2167~1) 11341 reads pass all demultiplexing filters.
[93.2 minutes]	Chunk 3: (pLinus~GTSP2167~1) 9 reads aligned to the vector and will be removed.
[93.2 minutes]	Chunk 3: (pLinus~GTSP2167~1) 11338 reads remain after removing vector aligned reads and synchronizing.
[93.2 minutes]	Chunk 3: (pLinus~GTSP2167~1) 630 reads removed by virus read start test filter (10 NTs).
[93.2 minutes]	Chunk 3: (pLinus~GTSP2167~1) 630 reads removed after all filters.
[93.5 minutes]	Chunk 3: (pLinus~GTSP2167~1) 2 reads remaining after LTR/ITR capture.
[93.5 minutes]	Chunk 3: (pLinus~GTSP2167~1) captured random linker ids.
[93.5 minutes]	Chunk 3: (7717) reads remaining after read length filters.
[93.5 minutes]	Chunk 3: (pLinus~GTSP2167~1) completed with 7717 reads.
[94.0 minutes]	Chunk 3: (pLinus~GTSP2168~1) 203056 reads pass barcode filter.
[94.0 minutes]	Chunk 3: (pLinus~GTSP2168~1) 10326 reads pass linker code filter.
[94.0 minutes]	Chunk 3: (pLinus~GTSP2168~1) 10176 reads pass all demultiplexing filters.
[94.1 minutes]	Chunk 3: (pLinus~GTSP2168~1) 1 reads aligned to the vector and will be removed.
[94.1 minutes]	Chunk 3: (pLinus~GTSP2168~1) 10175 reads remain after removing vector aligned reads and synchronizing.
[94.1 minutes]	Chunk 3: (pLinus~GTSP2168~1) 522 reads removed by virus read start test filter (10 NTs).
[94.1 minutes]	Chunk 3: (pLinus~GTSP2168~1) 522 reads removed after all filters.
[94.4 minutes]	Chunk 3: (pLinus~GTSP2168~1) 2 reads remaining after LTR/ITR capture.
[94.4 minutes]	Chunk 3: (pLinus~GTSP2168~1) captured random linker ids.
[94.4 minutes]	Chunk 3: (5347) reads remaining after read length filters.
[94.4 minutes]	Chunk 3: (pLinus~GTSP2168~1) completed with 5347 reads.
[94.9 minutes]	Chunk 3: (NTC~NTC1~1) 203056 reads pass barcode filter.
[94.9 minutes]	Chunk 3: (NTC~NTC1~1) 0 reads pass linker code filter.
[94.9 minutes]	Chunk 3: (NTC~NTC1~1) No reads demultiplexed.
[95.3 minutes]	Chunk 3: (pH19~GTSP2169~1) 203056 reads pass barcode filter.
[95.3 minutes]	Chunk 3: (pH19~GTSP2169~1) 5746 reads pass linker code filter.
[95.3 minutes]	Chunk 3: (pH19~GTSP2169~1) 5658 reads pass all demultiplexing filters.
[95.4 minutes]	Chunk 3: (pH19~GTSP2169~1) 16 reads aligned to the vector and will be removed.
[95.4 minutes]	Chunk 3: (pH19~GTSP2169~1) 5651 reads remain after removing vector aligned reads and synchronizing.
[95.4 minutes]	Chunk 3: (pH19~GTSP2169~1) 404 reads removed by virus read start test filter (10 NTs).
[95.4 minutes]	Chunk 3: (pH19~GTSP2169~1) 404 reads removed after all filters.
[95.6 minutes]	Chunk 3: (pH19~GTSP2169~1) 2 reads remaining after LTR/ITR capture.
[95.6 minutes]	Chunk 3: (pH19~GTSP2169~1) captured random linker ids.
[95.6 minutes]	Chunk 3: (2783) reads remaining after read length filters.
[95.6 minutes]	Chunk 3: (pH19~GTSP2169~1) completed with 2783 reads.
[96.0 minutes]	Chunk 3: (pH19~GTSP2170~1) 203056 reads pass barcode filter.
[96.1 minutes]	Chunk 3: (pH19~GTSP2170~1) 6369 reads pass linker code filter.
[96.1 minutes]	Chunk 3: (pH19~GTSP2170~1) 6293 reads pass all demultiplexing filters.
[96.1 minutes]	Chunk 3: (pH19~GTSP2170~1) 32 reads aligned to the vector and will be removed.
[96.1 minutes]	Chunk 3: (pH19~GTSP2170~1) 6278 reads remain after removing vector aligned reads and synchronizing.
[96.1 minutes]	Chunk 3: (pH19~GTSP2170~1) 290 reads removed by virus read start test filter (10 NTs).
[96.1 minutes]	Chunk 3: (pH19~GTSP2170~1) 290 reads removed after all filters.
[96.3 minutes]	Chunk 3: (pH19~GTSP2170~1) 2 reads remaining after LTR/ITR capture.
[96.3 minutes]	Chunk 3: (pH19~GTSP2170~1) captured random linker ids.
[96.3 minutes]	Chunk 3: (3651) reads remaining after read length filters.
[96.3 minutes]	Chunk 3: (pH19~GTSP2170~1) completed with 3651 reads.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 203056 reads pass barcode filter.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 44 reads pass linker code filter.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 44 reads pass all demultiplexing filters.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 0 reads aligned to the vector and will be removed.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 44 reads remain after removing vector aligned reads and synchronizing.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 1 reads removed by virus read start test filter (10 NTs).
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 1 reads removed after all filters.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) 2 reads remaining after LTR/ITR capture.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) captured random linker ids.
[96.8 minutes]	Chunk 3: (32) reads remaining after read length filters.
[96.8 minutes]	Chunk 3: (pH19~GTSP2171~1) completed with 32 reads.
[97.3 minutes]	Chunk 3: (pJ60~GTSP2172~1) 203056 reads pass barcode filter.
[97.3 minutes]	Chunk 3: (pJ60~GTSP2172~1) 14874 reads pass linker code filter.
